source_page,published_date,title,url
5,2023-02-20,川面真也演出家 ①アニメーションの気持ちよさにハマった『天空の城ラピュタ』,https://febri.jp/febri_talk/kawatsura_shinya_1/
5,2023-02-22,川面真也演出家 ②思春期のバイブル『若草物語 ナンとジョー先生』,https://febri.jp/febri_talk/kawatsura_shinya_2/
5,2023-02-24,川面真也演出家 ③演出家デビュー作『ノワール』,https://febri.jp/febri_talk/kawatsura_shinya_3/
5,2023-03-06,黒柳トシマサアニメーション監督 ①『海がきこえる』 リアルな空気感を生む作画と演出,https://febri.jp/febri_talk/kuroyanagitoshimasa1/
5,2023-03-08,黒柳トシマサアニメーション監督 ②監督の心境に触れた気がした『NieA_7』,https://febri.jp/febri_talk/kuroyanagitoshimasa2/
5,2023-03-10,黒柳トシマサアニメーション監督 ③表現のレベルの高さに震えた『風人物語』,https://febri.jp/febri_talk/kuroyanagitoshimasa3/
6,2022-12-26,木村隆一アニメーション監督／演出家 ①ヒリヒリした人間関係に惹きつけられた『エースをねらえ！』,https://febri.jp/febri_talk/kimura_ryuichi_1/
6,2022-12-28,木村隆一アニメーション監督／演出家 ②キャラクターを徹底的に掘り下げる『赤毛のアン』の凄まじさ,https://febri.jp/febri_talk/kimura_ryuichi_2/
6,2022-12-30,木村隆一アニメーション監督／演出家 ③その後の女児向けアニメの礎を築いた『美少女戦士セーラームーン』,https://febri.jp/febri_talk/kimura_ryuichi_3/
6,2023-01-09,藤原佳幸アニメーション監督 ①イフリータに「恋をした」OVA『神秘の世界エルハザード』,https://febri.jp/febri_talk/fujiwarayoshiyuki1/
6,2023-01-11,藤原佳幸アニメーション監督 ②「全力」の演出を知った『みなみけ』,https://febri.jp/febri_talk/fujiwarayoshiyuki2/
6,2023-01-13,藤原佳幸アニメーション監督 ③監督として進む方向性が見えた『GJ部』,https://febri.jp/febri_talk/fujiwarayoshiyuki3/
6,2023-01-23,中島かずき脚本家 ①「百鬼丸のテーマ」に心奪われた『どろろ』,https://febri.jp/febri_talk/nakashima_kazuki_1/
6,2023-01-25,中島かずき脚本家 ②ロボットアニメにリアルを持ち込んだ『無敵超人ザンボット3』,https://febri.jp/febri_talk/nakashima_kazuki_2/
6,2023-01-27,中島かずき脚本家 ③脚本家としてのターニングポイント『天元突破グレンラガン』,https://febri.jp/febri_talk/nakashima_kazuki_3/
7,2022-11-14,長崎行男音響監督／音楽プロデューサー ①主題歌と映像の鮮烈な記憶『西遊記』,https://febri.jp/febri_talk/yukio_nagasaki_1/
7,2022-11-16,長崎行男音響監督／音楽プロデューサー ②アニメの可能性を見た『機動戦士ガンダム』のドラマツルギー,https://febri.jp/febri_talk/yukio_nagasaki_2/
7,2022-11-18,長崎行男音響監督／音楽プロデューサー ③アニメ制作の現場に導いてくれた『超獣機神ダンクーガ』,https://febri.jp/febri_talk/yukio_nagasaki_3/
7,2022-11-28,山口貴之音響監督／録音調整（ミキサー） ①Pro Toolsを初めて駆使した『マーメイドメロディー ぴちぴちピッチ』,https://febri.jp/febri_talk/yamaguchitakayuki1/
7,2022-11-30,山口貴之音響監督／録音調整（ミキサー） ②歌を物語に寄り添わせた最初の作品『覆面系ノイズ』,https://febri.jp/febri_talk/yamaguchitakayuki2/
7,2022-12-02,山口貴之音響監督／録音調整（ミキサー） ③満足できたミュージカル作品 『アイの歌声を聴かせて』,https://febri.jp/febri_talk/yamaguchitakayuki3/
7,2022-12-12,あおきえいアニメーション監督 ①「青春の挫折」を知った『メガゾーン23』,https://febri.jp/febri_talk/aoki_ei_1/
7,2022-12-14,あおきえいアニメーション監督 ②「わからなさ」が刺さった『エリア88』,https://febri.jp/febri_talk/aoki_ei_2/
7,2022-12-16,あおきえいアニメーション監督 ③想像力を刺激された『ガンヘッド』,https://febri.jp/febri_talk/aoki_ei_3/
8,2022-10-03,平松禎史アニメーター、演出家 ①日本のアニメにはない魅力を感じた『トムとジェリー』,https://febri.jp/febri_talk/hiramatsu_tadashi_1/
8,2022-10-05,平松禎史アニメーター、演出家 ②ヒロイン・ラナに夢中になった『未来少年コナン』,https://febri.jp/febri_talk/hiramatsu_tadashi_2/
8,2022-10-07,平松禎史アニメーター、演出家 ③『太陽の王子 ホルスの大冒険』「あんな表情を描けるんだ」と驚かされた,https://febri.jp/febri_talk/hiramatsu_tadashi_3/
8,2022-10-17,境宗久アニメーション監督／演出家 ①オープニングに胸高鳴らせた『銀河鉄道999』,https://febri.jp/febri_talk/sakai_munehisa_1/
8,2022-10-19,境宗久アニメーション監督／演出家 ②見たことがない映像に惹かれた『風の谷のナウシカ』,https://febri.jp/febri_talk/sakai_munehisa_2/
8,2022-10-21,境宗久アニメーション監督／演出家 ③生き生きと動くCGに衝撃を受けた『トイ・ストーリー』,https://febri.jp/febri_talk/sakai_munehisa_3/
8,2022-10-31,黒﨑静佳アニメーションプロデューサー ①アニメ業界を目指すきっかけになった『るろうに剣心 ー明治剣客浪漫譚ー 追憶編』,https://febri.jp/febri_talk/kurosakishizuka1/
8,2022-11-02,黒﨑静佳アニメーションプロデューサー ②自分を純粋なアニメファンに戻してくれた『機動戦士ガンダム 閃光のハサウェイ』,https://febri.jp/febri_talk/kurosakishizuka2/
8,2022-11-04,黒﨑静佳アニメーションプロデューサー ③アニメビジネスに対する考え方が変わった『魔道祖師』,https://febri.jp/febri_talk/kurosakishizuka3/
9,2022-09-12,福島祐一アニメーションプロデューサー ①『天元突破グレンラガン』こういう作品づくりをしてみたいと思った,https://febri.jp/febri_talk/fukushima-yuichi-1/
9,2022-09-14,福島祐一アニメーションプロデューサー ②『THE IDOLM@STER』作品づくりへの思いが初めて結実した,https://febri.jp/febri_talk/fukushima-yuichi-2/
9,2022-09-16,福島祐一アニメーションプロデューサー ③『同級生』制作として次のステップに上がれた感じがした,https://febri.jp/febri_talk/fukushima-yuichi-3/
9,2022-09-19,岡田有章美術監督／メカニカルデザイナー ①再びアニメ愛を持った『AIR』,https://febri.jp/febri_talk/okada_tomoaki_1/
